Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au Client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie,Justification,Commentaires,Date de prise en compte,Date de finalisation,Delais traitement,Statut,Impact financier,Catégorisée par
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,21,5, ,0,ZN,Mi-saison,125,2023-05-22,2023-05-23,200,75,1,1,75,Récurrent,0.6,Nuit,Impact Client,Eclairage ,Eclairage en marche forcée sur GTC, ,,,,,7.0167,Rawa
SABLONS,MO0157,SES8,RL,Electricité,19,5, ,0,AE,Mi-saison,70,2023-05-07,2023-05-08,85,15,6,1,90,Récurrent,0.21428571428571427,Nuit,A définir,Investigation en cours, , ,,,,,8.42004,Rawa
SABLONS,MO0157,SES8,RL,Electricité,19,5, ,0,AE,Mi-saison,70,2023-05-08,2023-05-09,90,20,6,1,120,Récurrent,0.2857142857142857,Nuit,A définir,Investigation en cours, , ,,,,,11.22672,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,21,5, ,0,ZN,Mi-saison,45,2023-05-21,2023-05-28,65,20,7,7,980,Récurrent,0.4444444444444444,Nuit,Impact Client,Eclairage,Problème alarme,,,,,,91.68488,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,21,5, ,0,ZN,Mi-saison,45,2023-05-28,2023-05-28,80,35,16,1,560,Récurrent,0.7777777777777778,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,52.39136,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,22,5,2023-06-08 00:00:00,0,ZN,Mi-saison,45,2023-05-28,2023-06-01,65,20,7,4,560,Récurrent,0.4444444444444444,Nuit,Impact Client,Eclairage,Problème alarme,RAS sur GTC,,,,,52.39136,Rawa
SABLONS,MO0157,SES8,RL,Electricité,20,5, ,0,AE,Mi-saison,70,2023-05-14,2023-05-15,85,15,6,1,90,Récurrent,0.21428571428571427,Nuit,A définir,Investigation en cours, , ,,,,,8.42004,Rawa
SABLONS,MO0157,SES8,RL,Electricité,20,5, ,0,AE,Mi-saison,70,2023-05-15,2023-05-20,80,10,3,5,150,Récurrent,0.14285714285714285,Nuit,A définir,Investigation en cours, , ,,,,,14.0334,Rawa
SABLONS,MO0157,SES8,RL,Electricité,20,5, ,0,AE,Mi-saison,70,2023-05-20,2023-05-21,85,15,6,1,90,Récurrent,0.21428571428571427,Nuit,A définir,Investigation en cours, , ,,,,,8.42004,Rawa
SABLONS,MO0157,SES8,RL,Electricité,21,5, ,0,AE,Mi-saison,70,2023-05-21,2023-05-22,85,15,6,1,90,Récurrent,0.21428571428571427,Nuit,A définir,Investigation en cours, , ,,,,,8.42004,Rawa
