Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
BOULOGNE LES PASSAGES,MO0303,SES8,AL,Electricité,8,2, ,0,HH,Hiver,95,2023-02-26,2023-02-26,125,30.0,15.0,1,450.0,Récurrent,0.3157894736842105,Dim,Impact Client,Changement de comportement
MONTREUIL,MO0522,SES8,RL,Electricité,8,2, ,0,HH,Hiver,95,2023-02-26,2023-02-26,125,30.0,5.0,1,150.0,Récurrent,0.3157894736842105,Dim,Impact Client,CVC
CHARENTON,MO0109,Monoprix,AL,Electricité,9,3, ,0,ZN,Mi-saison,35,2023-03-05,2023-03-05,125,90.0,10.0,1,900.0,Récurrent,2.5714285714285716,Dim,Impact Client,Changement de comportement
TERNES,MO1209,SES8,AL,Electricité,1,1, ,0,SB,Hiver,80,2023-01-02,2023-01-07,105,25.0,3.0,5,375.0,Récurrent,0.3125,Nuit,Impact Client,CVC
LA GARENNE,MO0085,Monoprix,AL,Electricité,1,1, ,0,SB,Hiver,80,2023-01-01,2023-01-02,105,25.0,4.0,1,100.0,Récurrent,0.3125,Nuit,Impact Client,CVC
LE COURBE,MO1318,SES8,AL,Electricité,5,2, ,0,ZN,Hiver,80,2023-02-05,2023-02-05,105,25.0,13.0,1,325.0,Récurrent,0.3125,Dim,Impact Client,Changement de comportement
TERNES,MO1209,SES8,AL,Electricité,6,2, ,0,ZN,Hiver,80,2023-02-05,2023-02-06,105,25.0,7.0,1,175.0,Récurrent,0.3125,Nuit,Impact Client,CVC
VERSAILLES,MO0156,SES8,AL,Electricité,6,2, ,0,ZN,Hiver,80,2023-02-11,2023-02-12,105,25.0,1.0,1,25.0,Récurrent,0.3125,Nuit,Impact Client,CVC
VERSAILLES,MO0156,SES8,AL,Electricité,8,2, ,0,HH,Hiver,80,2023-02-22,2023-02-25,105,25.0,2.0,3,150.0,Récurrent,0.3125,Nuit,Impact Client,CVC
SAINT OUEN,MO1246,Monoprix,RL,Electricité,2,1, ,0,SB,Hiver,65,2023-01-13,2023-01-14,85,20.0,7.0,1,140.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
Reuilly,MO2366,Monoprix,AL,Electricité,2,1, ,0,SB,Hiver,65,2023-01-08,2023-01-14,85,20.0,9.0,6,1080.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
SAINT OUEN,MO1246,Monoprix,RL,Electricité,2,1, ,0,SB,Hiver,65,2023-01-15,2023-01-15,85,20.0,8.0,1,160.0,Récurrent,0.3076923076923077,Dim,Impact Client,Changement de comportement
Marseille rond point ,MO0459,Monoprix,RL,Electricité,3,1, ,0,SB,Hiver,195,2023-01-16,2023-01-22,255,60.0,2.0,6,720.0,Récurrent,0.3076923076923077,Nuit,Impact Client,Eclairage
Reuilly,MO2366,Monoprix,AL,Electricité,3,1, ,0,SB,Hiver,65,2023-01-15,2023-01-21,85,20.0,9.0,6,1080.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
SAINT OUEN,MO1246,Monoprix,RL,Electricité,3,1, ,0,SB,Hiver,65,2023-01-22,2023-01-22,85,20.0,8.0,1,160.0,Récurrent,0.3076923076923077,Dim,Impact Client,Changement de comportement
MEUDON,MO0102,Monoprix,AL,Electricité,4,1, ,0,SB,Hiver,65,2023-01-22,2023-01-29,85,20.0,2.0,7,280.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
SAINT OUEN,MO1246,Monoprix,RL,Electricité,5,1, ,0,SB,Hiver,65,2023-01-29,2023-01-30,85,20.0,6.0,1,120.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
SAINT OUEN,MO1246,Monoprix,RL,Electricité,5,2, ,0,SB,Hiver,65,2023-02-03,2023-02-04,85,20.0,5.0,1,100.0,Récurrent,0.3076923076923077,Nuit,Impact Client,Eclairage
AUXERRE,MO0225,SES8,RL,Electricité,5,2, ,0,ZN,Hiver,65,2023-02-01,2023-02-05,85,20.0,9.0,4,720.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
AUXERRE,MO0225,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,65,2023-02-05,2023-02-06,85,20.0,1.0,1,20.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
AUXERRE,MO0225,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,65,2023-02-06,2023-02-07,85,20.0,3.0,1,60.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
AUXERRE,MO0225,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,65,2023-02-07,2023-02-09,85,20.0,8.0,2,320.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
