Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
MERIGNAC ARLAC,CS748,SES,EE,Gaz,24,6, ,-,AE,Eté,0,2023-06-11,2023-06-18,10,10.0,3.0,7,210.0,-,-,Nuit,Impact Client,CVC
MERIGNAC ARLAC,CS748,SES,EE,Gaz,25,6, ,-,AE,Eté,0,2023-06-18,2023-06-25,10,10.0,3.0,7,210.0,-,-,Nuit,Impact Client,CVC
MERIGNAC ARLAC,CS748,SES,EE,Gaz,26,6, ,-,AE,Eté,0,2023-06-25,2023-07-01,10,10.0,3.0,6,180.0,-,-,Nuit,Impact Client,CVC
MERIGNAC ARLAC,CS748,SES,EE,Electricité,25,6, ,0,HH,Eté,115,2023-06-24,2023-06-25,130,15.0,3.0,1,45.0,Récurrent,0.13043478260869565,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,26,6, ,0,HH,Eté,115,2023-06-30,2023-07-01,130,15.0,3.0,1,45.0,Récurrent,0.13043478260869565,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,24,6, ,0,HH,Eté,115,2023-06-11,2023-06-18,135,20.0,3.0,7,420.0,Récurrent,0.17391304347826086,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,25,6, ,0,HH,Eté,115,2023-06-20,2023-06-23,135,20.0,3.0,3,180.0,Récurrent,0.17391304347826086,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,26,6, ,0,HH,Eté,115,2023-06-25,2023-06-29,135,20.0,3.0,4,240.0,Récurrent,0.17391304347826086,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,22,6, ,0,RC,Eté,115,2023-06-01,2023-06-04,135,20.0,3.0,3,180.0,Récurrent,0.17391304347826086,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,23,6, ,0,RC,Eté,115,2023-06-04,2023-06-11,135,20.0,3.0,7,420.0,Récurrent,0.17391304347826086,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,25,6,2023-07-04 00:00:00,0,HH,Eté,115,2023-06-18,2023-06-19,145,30.0,3.0,1,90.0,Récurrent,0.2608695652173913,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,25,6,2023-07-04 00:00:00,0,HH,Eté,115,2023-06-23,2023-06-24,160,45.0,3.0,1,135.0,Récurrent,0.391304347826087,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,26,6, ,0,HH,Eté,115,2023-06-29,2023-06-30,160,45.0,3.0,1,135.0,Récurrent,0.391304347826087,Nuit,A définir,Investigation en cours
MERIGNAC ARLAC,CS748,SES,EE,Electricité,25,6,2023-07-04 00:00:00,0,HH,Eté,115,2023-06-19,2023-06-20,175,60.0,3.0,1,180.0,Récurrent,0.5217391304347826,Nuit,A définir,Investigation en cours
MEYMAC,CS265,SES,EE,Electricité,24,6, ,0,HH,Eté,35,2023-06-14,2023-06-15,60,25.0,1.0,1,25.0,Récurrent,0.7142857142857143,Nuit,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,45,2023-06-01,2023-06-04,50,5.0,6.0,3,90.0,Récurrent,0.1111111111111111,Nuit,Impact Client,Multi-usage
Mions,CS536,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,45,2023-06-12,2023-06-18,50,5.0,6.0,6,180.0,Récurrent,0.1111111111111111,Nuit,Impact Client,Multi-usage
Mions,CS536,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,45,2023-06-18,2023-06-25,50,5.0,6.0,7,210.0,Récurrent,0.1111111111111111,Nuit,Impact Client,Multi-usage
Mions,CS536,SM CPE Lighting,-,Electricité,26,6, ,0,HH,Eté,45,2023-06-25,2023-07-01,50,5.0,5.0,6,150.0,Récurrent,0.1111111111111111,Nuit,Impact Client,Multi-usage
Mions,CS536,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,45,2023-06-04,2023-06-04,60,15.0,7.0,1,105.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,23,6, ,0,RC,Eté,45,2023-06-11,2023-06-11,60,15.0,7.0,1,105.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,45,2023-06-01,2023-06-04,60,15.0,1.0,3,45.0,Récurrent,0.3333333333333333,Nuit,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,26,6, ,0,HH,Eté,45,2023-06-25,2023-07-01,60,15.0,2.0,6,180.0,Récurrent,0.3333333333333333,Nuit,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,45,2023-06-18,2023-06-18,65,20.0,8.0,1,160.0,Récurrent,0.4444444444444444,Dim,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,45,2023-06-11,2023-06-18,65,20.0,1.0,7,140.0,Récurrent,0.4444444444444444,Nuit,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,45,2023-06-18,2023-06-25,65,20.0,1.0,7,140.0,Récurrent,0.4444444444444444,Nuit,Impact Client,Changement de comportement
Mions,CS536,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,45,2023-06-25,2023-06-25,70,25.0,8.0,1,200.0,Récurrent,0.5555555555555556,Dim,Impact Client,Changement de comportement
MOISSAC,CS590,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,40,2023-06-01,2023-06-04,45,5.0,6.0,3,90.0,Récurrent,0.125,Nuit,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,40,2023-06-11,2023-06-18,45,5.0,6.0,7,210.0,Récurrent,0.125,Nuit,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,40,2023-06-04,2023-06-04,50,10.0,7.0,1,70.0,Récurrent,0.25,Dim,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,40,2023-06-18,2023-06-18,50,10.0,8.0,1,80.0,Récurrent,0.25,Dim,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,40,2023-06-18,2023-06-25,50,10.0,7.0,7,490.0,Récurrent,0.25,Nuit,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,40,2023-06-25,2023-07-01,50,10.0,5.0,6,300.0,Récurrent,0.25,Nuit,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,40,2023-06-25,2023-06-25,55,15.0,8.0,1,120.0,Récurrent,0.375,Dim,Impact Client,Eclairage
MOISSAC,CS590,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,40,2023-06-25,2023-06-30,55,15.0,2.0,5,150.0,Récurrent,0.375,Nuit,Impact Client,Changement de comportement
MONTBARD,CS544,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,20,2023-06-25,2023-06-25,30,10.0,7.0,1,70.0,Récurrent,0.5,Dim,Impact Client,Eclairage
MONTBARD,CS544,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,20,2023-06-01,2023-06-04,30,10.0,4.0,3,120.0,Récurrent,0.5,Nuit,Impact Client,Multi-usage
MONTBARD,CS544,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,20,2023-06-11,2023-06-18,35,15.0,7.0,7,735.0,Récurrent,0.75,Nuit,Impact Client,Eclairage
MONTBARD,CS544,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,20,2023-06-18,2023-06-25,35,15.0,7.0,7,735.0,Récurrent,0.75,Nuit,Impact Client,Eclairage
MONTBARD,CS544,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,20,2023-06-25,2023-07-01,35,15.0,7.0,6,630.0,Récurrent,0.75,Nuit,Impact Client,Eclairage
MONTBARD,CS544,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,20,2023-06-18,2023-06-18,35,15.0,8.0,1,120.0,Récurrent,0.75,Dim,Impact Client,Changement de comportement
MONTBARD,CS544,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,20,2023-06-04,2023-06-04,35,15.0,7.0,1,105.0,Récurrent,0.75,Dim,Impact Client,Multi-usage
MONTBARD,CS544,Super Casino,DM,Electricité,23,6, ,0,RC,Eté,20,2023-06-11,2023-06-11,35,15.0,7.0,1,105.0,Récurrent,0.75,Dim,Impact Client,Multi-usage
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,22,6, ,0,RC,Eté,120,2023-06-01,2023-06-04,150,30.0,3.0,3,270.0,Récurrent,0.25,Nuit,A définir,Investigation en cours
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,23,6, ,0,RC,Eté,120,2023-06-04,2023-06-11,150,30.0,3.0,7,630.0,Récurrent,0.25,Nuit,A définir,Investigation en cours
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,26,6, ,0,HH,Eté,120,2023-06-25,2023-07-01,155,35.0,3.0,6,630.0,Récurrent,0.2916666666666667,Nuit,A définir,Investigation en cours
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,23,6, ,0,RC,Eté,120,2023-06-11,2023-06-11,160,40.0,11.0,1,440.0,Récurrent,0.3333333333333333,Dim,A définir,Investigation en cours
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,24,6, ,0,HH,Eté,120,2023-06-18,2023-06-18,165,45.0,12.0,1,540.0,Récurrent,0.375,Dim,A définir,Investigation en cours
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,25,6, ,0,HH,Eté,120,2023-06-25,2023-06-25,180,60.0,7.0,1,420.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
MONTPELLIER RTE DE GANGES,CS812,SES,EE,Electricité,22,6, ,0,RC,Eté,120,2023-06-04,2023-06-04,190,70.0,7.0,1,490.0,Récurrent,0.5833333333333334,Dim,Impact Client,Changement de comportement
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,22,6, ,0,RC,Eté,70,2023-06-01,2023-06-04,80,10.0,3.0,3,90.0,Récurrent,0.14285714285714285,Nuit,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,23,6, ,0,RC,Eté,70,2023-06-04,2023-06-11,80,10.0,3.0,7,210.0,Récurrent,0.14285714285714285,Nuit,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,22,6, ,0,RC,Eté,70,2023-06-04,2023-06-04,85,15.0,11.0,1,165.0,Récurrent,0.21428571428571427,Dim,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,24,6, ,0,HH,Eté,70,2023-06-11,2023-06-18,85,15.0,3.0,7,315.0,Récurrent,0.21428571428571427,Nuit,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,24,6, ,0,HH,Eté,70,2023-06-18,2023-06-18,85,15.0,12.0,1,180.0,Récurrent,0.21428571428571427,Dim,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,25,6, ,0,HH,Eté,70,2023-06-18,2023-06-25,90,20.0,3.0,7,420.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,23,6, ,0,RC,Eté,70,2023-06-11,2023-06-11,95,25.0,11.0,1,275.0,Récurrent,0.35714285714285715,Dim,Impact Client,Changement de comportement
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,26,6, ,0,HH,Eté,70,2023-06-25,2023-07-01,100,30.0,3.0,6,540.0,Récurrent,0.42857142857142855,Nuit,Impact Client,Eclairage
MONTPELLIER RTE DE TOULOUSE,CS961,SES,EE,Electricité,25,6, ,0,HH,Eté,70,2023-06-25,2023-06-25,110,40.0,8.0,1,320.0,Récurrent,0.5714285714285714,Dim,Impact Client,Changement de comportement
MONTPON MENESTROL,CS672,SES,DM,Electricité,22,6, ,0,RC,Eté,50,2023-06-01,2023-06-04,55,5.0,7.0,3,105.0,Récurrent,0.1,Nuit,Impact Client,Eclairage
MONTPON MENESTROL,CS672,SES,DM,Electricité,23,6, ,0,RC,Eté,50,2023-06-04,2023-06-11,55,5.0,7.0,7,245.0,Récurrent,0.1,Nuit,Impact Client,Eclairage
MONTPON MENESTROL,CS672,SES,DM,Electricité,22,6, ,0,RC,Eté,50,2023-06-04,2023-06-04,60,10.0,7.0,1,70.0,Récurrent,0.2,Dim,Impact Client,Eclairage
MONTPON MENESTROL,CS672,SES,DM,Electricité,23,6, ,0,RC,Eté,50,2023-06-11,2023-06-11,60,10.0,8.0,1,80.0,Récurrent,0.2,Dim,Impact Client,Eclairage
MONTPON MENESTROL,CS672,SES,DM,Electricité,25,6, ,0,HH,Eté,50,2023-06-25,2023-06-25,65,15.0,8.0,1,120.0,Récurrent,0.3,Dim,Impact Client,Changement de comportement
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,26,6, ,0,HH,Eté,75,2023-06-25,2023-07-01,65,-10.0,7.0,6,-420.0,Récurrent,-0.13333333333333333,Nuit,Impact Client,Multi-usage
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,75,2023-06-01,2023-06-04,70,-5.0,3.0,3,-45.0,Récurrent,-0.06666666666666667,Nuit,Impact Client,Multi-usage
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,75,2023-06-11,2023-06-18,70,-5.0,7.0,7,-245.0,Récurrent,-0.06666666666666667,Nuit,Impact Client,Multi-usage
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,75,2023-06-18,2023-06-25,70,-5.0,7.0,7,-245.0,Récurrent,-0.06666666666666667,Nuit,Impact Client,Multi-usage
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,75,2023-06-04,2023-06-04,90,15.0,7.0,1,105.0,Récurrent,0.2,Dim,Impact Client,Changement de comportement
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,75,2023-06-18,2023-06-18,95,20.0,8.0,1,160.0,Récurrent,0.26666666666666666,Dim,Impact Client,Changement de comportement
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,23,6, ,0,RC,Eté,75,2023-06-11,2023-06-11,100,25.0,7.0,1,175.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,75,2023-06-25,2023-06-25,100,25.0,7.0,1,175.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
MONTUSSAN,CS595,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,75,2023-06-01,2023-06-04,170,95.0,4.0,3,1140.0,Récurrent,1.2666666666666666,Nuit,Impact Client,Changement de comportement
MORNANT,CS739,SES,DM,Electricité,24,6, ,0,HH,Eté,50,2023-06-11,2023-06-13,70,20.0,2.0,2,80.0,Récurrent,0.4,Nuit,Impact Client,Changement de comportement
MORNANT,CS739,SES,DM,Electricité,23,6, ,0,RC,Eté,50,2023-06-08,2023-06-09,70,20.0,7.0,1,140.0,Récurrent,0.4,Nuit,A définir,Investigation en cours
MORNANT,CS739,SES,DM,Electricité,23,6, ,0,RC,Eté,50,2023-06-10,2023-06-11,70,20.0,7.0,1,140.0,Récurrent,0.4,Nuit,A définir,Investigation en cours
MORNANT,CS739,SES,DM,Electricité,24,6, ,0,HH,Eté,50,2023-06-14,2023-06-18,70,20.0,7.0,4,560.0,Récurrent,0.4,Nuit,A définir,Investigation en cours
MORNANT,CS739,SES,DM,Electricité,25,6, ,0,HH,Eté,50,2023-06-23,2023-06-25,70,20.0,7.0,2,280.0,Récurrent,0.4,Nuit,A définir,Investigation en cours
MORNANT,CS739,SES,DM,Electricité,26,6, ,0,HH,Eté,50,2023-06-25,2023-06-29,70,20.0,7.0,4,560.0,Récurrent,0.4,Nuit,A définir,Investigation en cours
MORNANT,CS739,SES,DM,Electricité,25,6, ,0,HH,Eté,50,2023-06-18,2023-06-22,75,25.0,7.0,4,700.0,Récurrent,0.5,Nuit,A définir,Investigation en cours
MORNANT,CS739,SES,DM,Electricité,22,6, ,0,RC,Eté,50,2023-06-04,2023-06-04,85,35.0,5.0,1,175.0,Récurrent,0.7,Dim,Impact Client,Changement de comportement
MORNANT,CS739,SES,DM,Electricité,23,6, ,0,RC,Eté,50,2023-06-11,2023-06-11,95,45.0,7.0,1,315.0,Récurrent,0.9,Dim,Impact Client,Changement de comportement
MORNANT,CS739,SES,DM,Electricité,24,6, ,0,HH,Eté,50,2023-06-18,2023-06-18,100,50.0,8.0,1,400.0,Récurrent,1,Dim,Impact Client,Changement de comportement
MORNANT,CS739,SES,DM,Electricité,25,6, ,0,HH,Eté,50,2023-06-25,2023-06-25,105,55.0,8.0,1,440.0,Récurrent,1.1,Dim,Impact Client,Changement de comportement
MORTEAU,CS512,SES,DM,Electricité,22,6, ,0,RC,Eté,60,2023-06-04,2023-06-04,110,50.0,7.0,1,350.0,Récurrent,0.8333333333333334,Dim,Impact Client,Changement de comportement
MORTEAU,CS512,SES,DM,Electricité,24,6, ,0,HH,Eté,60,2023-06-18,2023-06-18,110,50.0,10.0,1,500.0,Récurrent,0.8333333333333334,Dim,Impact Client,Changement de comportement
MORTEAU,CS512,SES,DM,Electricité,23,6, ,0,RC,Eté,60,2023-06-11,2023-06-11,115,55.0,10.0,1,550.0,Récurrent,0.9166666666666666,Dim,Impact Client,Changement de comportement
MORTEAU,CS512,SES,DM,Electricité,25,6, ,0,HH,Eté,60,2023-06-25,2023-06-25,115,55.0,8.0,1,440.0,Récurrent,0.9166666666666666,Dim,Impact Client,Changement de comportement
NEMOURS,CS119,SES,EE,Electricité,23,6, ,0,HH,Eté,95,2023-06-05,2023-06-11,105,10.0,5.0,6,300.0,Récurrent,0.10526315789473684,Nuit,A définir,Investigation en cours
NEUVILLE SUR SAONE,CS495,SES,DM,Electricité,26,6, ,0,HH,Eté,50,2023-06-26,2023-06-27,60,10.0,3.0,1,30.0,Récurrent,0.2,Nuit,Impact Client,Eclairage 
NEUVILLE SUR SAONE,CS495,SES,DM,Electricité,23,6, ,0,HH,Eté,50,2023-06-11,2023-06-11,75,25.0,7.0,1,175.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement 
NEUVILLE SUR SAONE,CS495,SES,DM,Electricité,22,6, ,0,HH,Eté,50,2023-06-04,2023-06-04,75,25.0,7.0,1,175.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
NEUVILLE SUR SAONE,CS495,SES,DM,Electricité,24,6, ,0,HH,Eté,50,2023-06-18,2023-06-18,80,30.0,7.0,1,210.0,Récurrent,0.6,Dim,Impact Client,Changement de comportement
NEUVILLE SUR SAONE,CS495,SES,DM,Electricité,25,6, ,0,HH,Eté,50,2023-06-25,2023-06-25,80,30.0,7.0,1,210.0,Récurrent,0.6,Dim,Impact Client,Changement de comportement
NICE ETOILE,CS992,SES,EE,Electricité,25,6, ,0,HH,Eté,50,2023-06-18,2023-06-25,55,5.0,7.0,7,245.0,Récurrent,0.1,Nuit,Impact Client,Eclairage
NICE ETOILE,CS992,SES,EE,Electricité,26,6, ,0,HH,Eté,50,2023-06-25,2023-07-01,55,5.0,7.0,6,210.0,Récurrent,0.1,Nuit,Impact Client,Eclairage 
NICE ETOILE,CS992,SES,EE,Electricité,23,6, ,0,HH,Eté,50,2023-06-11,2023-06-11,70,20.0,6.0,1,120.0,Récurrent,0.4,Dim,Impact Client,Changement de comportement 
NICE ETOILE,CS992,SES,EE,Electricité,24,6, ,0,HH,Eté,50,2023-06-18,2023-06-18,75,25.0,6.0,1,150.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
NICE ETOILE,CS992,SES,EE,Electricité,22,6, ,0,HH,Eté,50,2023-06-04,2023-06-04,75,25.0,6.0,1,150.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
NICE ETOILE,CS992,SES,EE,Electricité,25,6, ,0,HH,Eté,50,2023-06-25,2023-06-25,75,25.0,6.0,1,150.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
NICE FERBER,CS998,SES,EE,Electricité,26,6, ,0,HH,Eté,125,2023-06-25,2023-06-26,145,20.0,4.0,1,80.0,Récurrent,0.16,Nuit,A définir,Investigation en cours
NICE FERBER,CS998,SES,EE,Electricité,26,6, ,0,HH,Eté,125,2023-06-27,2023-07-01,145,20.0,4.0,4,320.0,Récurrent,0.16,Nuit,A définir,Investigation en cours
NICE FERBER,CS998,SES,EE,Electricité,26,6, ,0,HH,Eté,125,2023-06-26,2023-06-27,170,45.0,4.0,1,180.0,Récurrent,0.36,Nuit,A définir,Investigation en cours
NICE LE PAILLON,CS920,SES,EE,Electricité,26,6, ,0,HH,Eté,100,2023-06-25,2023-07-01,120,20.0,4.0,6,480.0,Récurrent,0.2,Nuit,A définir,Investigation en cours
NICE LE PAILLON,CS920,SES,EE,Electricité,24,6, ,0,HH,Eté,100,2023-06-12,2023-06-13,125,25.0,4.0,1,100.0,Récurrent,0.25,Nuit,A définir,Investigation en cours
NICE LE PAILLON,CS920,SES,EE,Electricité,25,6, ,0,HH,Eté,100,2023-06-19,2023-06-20,130,30.0,4.0,1,120.0,Récurrent,0.3,Nuit,A définir,Investigation en cours
NICE LE PAILLON,CS920,SES,EE,Electricité,22,6, ,0,HH,Eté,100,2023-06-04,2023-06-04,140,40.0,7.0,1,280.0,Récurrent,0.4,Dim,Impact Client,Changement de comportement
NICE LE PAILLON,CS920,SES,EE,Electricité,23,6, ,0,HH,Eté,100,2023-06-11,2023-06-11,170,70.0,7.0,1,490.0,Récurrent,0.7,Dim,Impact Client,Changement de comportement 
NICE LE PAILLON,CS920,SES,EE,Electricité,24,6, ,0,HH,Eté,100,2023-06-18,2023-06-18,175,75.0,7.0,1,525.0,Récurrent,0.75,Dim,Impact Client,Changement de comportement
NICE LE PAILLON,CS920,SES,EE,Electricité,25,6, ,0,HH,Eté,100,2023-06-25,2023-06-25,180,80.0,7.0,1,560.0,Récurrent,0.8,Dim,Impact Client,Changement de comportement
NICE MAGNAN,CS924,SES,EE,Electricité,22,6, ,0,HH,Eté,90,2023-06-01,2023-06-04,95,5.0,4.0,3,60.0,Récurrent,0.05555555555555555,Nuit,Impact Client,Eclairage
NICE MAGNAN,CS924,SES,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-11,2023-06-14,100,10.0,4.0,3,120.0,Récurrent,0.1111111111111111,Nuit,Impact Client,Eclairage
NICE MAGNAN,CS924,SES,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-15,2023-06-18,105,15.0,4.0,3,180.0,Récurrent,0.16666666666666666,Nuit,Impact Client,Eclairage
NICE MAGNAN,CS924,SES,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-14,2023-06-15,110,20.0,4.0,1,80.0,Récurrent,0.2222222222222222,Nuit,Impact Client,Eclairage
NICE MAGNAN,CS924,SES,EE,Electricité,25,6, ,0,HH,Eté,90,2023-06-18,2023-06-25,110,20.0,4.0,7,560.0,Récurrent,0.2222222222222222,Nuit,Impact Client,Eclairage
NICE MAGNAN,CS924,SES,EE,Electricité,26,6, ,0,HH,Eté,90,2023-06-25,2023-07-01,110,20.0,4.0,6,480.0,Récurrent,0.2222222222222222,Nuit,Impact Client,Eclairage 
NICE MAGNAN,CS924,SES,EE,Electricité,23,6, ,0,HH,Eté,90,2023-06-10,2023-06-11,115,25.0,4.0,1,100.0,Récurrent,0.2777777777777778,Nuit,A définir,Investigation en cours
NICE MAGNAN,CS924,SES,EE,Electricité,22,6, ,0,HH,Eté,90,2023-06-04,2023-06-04,135,45.0,7.0,1,315.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
NICE MAGNAN,CS924,SES,EE,Electricité,23,6, ,0,HH,Eté,90,2023-06-11,2023-06-11,145,55.0,6.0,1,330.0,Récurrent,0.6111111111111112,Dim,Impact Client,Changement de comportement 
NICE MAGNAN,CS924,SES,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-18,2023-06-18,150,60.0,7.0,1,420.0,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement
NICE MAGNAN,CS924,SES,EE,Electricité,25,6, ,0,HH,Eté,90,2023-06-25,2023-06-25,150,60.0,7.0,1,420.0,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement
NICE NICA,CS991,Super Casino,EE,Electricité,23,6, ,0,HH,Eté,20,2023-06-07,2023-06-11,25,5.0,7.0,4,140.0,Récurrent,0.25,Nuit,Impact Client,Eclairage 
NICE NICA,CS991,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,20,2023-06-11,2023-06-18,25,5.0,7.0,7,245.0,Récurrent,0.25,Nuit,Impact Client,Multi-usage
NICE NICA,CS991,Super Casino,EE,Electricité,23,6, ,0,HH,Eté,20,2023-06-11,2023-06-11,30,10.0,13.0,1,130.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
NICE NICA,CS991,Super Casino,EE,Electricité,25,6, ,0,HH,Eté,20,2023-06-18,2023-06-25,30,10.0,7.0,7,490.0,Récurrent,0.5,Nuit,Impact Client,Multi-usage
NICE NICA,CS991,Super Casino,EE,Electricité,25,6, ,0,HH,Eté,20,2023-06-25,2023-06-25,30,10.0,13.0,1,130.0,Récurrent,0.5,Dim,Impact Client,Multi-usage
NICE NICA,CS991,Super Casino,EE,Electricité,26,6, ,0,HH,Eté,20,2023-06-25,2023-07-01,30,10.0,7.0,6,420.0,Récurrent,0.5,Nuit,Impact Client,Multi-usage
NICE NICA,CS991,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,20,2023-06-18,2023-06-18,30,10.0,13.0,1,130.0,Récurrent,0.5,Dim,Impact Client,Multi-usage
NIORT,CS402,SM CPE Lighting,-,Electricité,22,6, ,0,HH,Eté,20,2023-06-01,2023-06-04,40,20.0,7.0,3,420.0,Récurrent,1,Nuit,Impact Client,Multi-usage
NIORT,CS402,SM CPE Lighting,-,Electricité,23,6, ,0,HH,Eté,20,2023-06-04,2023-06-11,40,20.0,7.0,7,980.0,Récurrent,1,Nuit,Impact Client,Multi-usage
NIORT,CS402,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,20,2023-06-18,2023-06-25,40,20.0,7.0,7,980.0,Récurrent,1,Nuit,Impact Client,Multi-usage
NIORT,CS402,SM CPE Lighting,-,Electricité,26,6, ,0,HH,Eté,20,2023-06-25,2023-07-01,40,20.0,7.0,6,840.0,Récurrent,1,Nuit,Impact Client,Multi-usage
NIORT,CS402,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,20,2023-06-11,2023-06-18,40,20.0,7.0,7,980.0,Récurrent,1,Nuit,Impact Client,Multi-usage
