Date,Time,salesforceName,siteName,energySource,Real Consumption (kWh),TalonRef,Heure Ouverture,Heure Fermeture,Ouverture dim,Margin
2023-06-18,12:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,319,125,5,21,Matin,35
2023-06-18,13:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,267,125,5,21,Matin,35
2023-06-18,14:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,219,125,5,21,Matin,35
2023-06-18,15:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,209,125,5,21,Matin,35
2023-06-18,16:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,218,125,5,21,Matin,35
2023-06-18,17:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,209,125,5,21,Matin,35
2023-06-18,18:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,204,125,5,21,Matin,35
2023-06-18,19:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,195,125,5,21,Matin,35
2023-06-18,20:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,198,125,5,21,Matin,35
2023-06-18,21:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,198,125,5,21,Matin,35
2023-06-18,22:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,193,125,5,21,Matin,35
2023-06-18,23:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,194,125,5,21,Matin,35
2023-06-19,00:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,181,125,5,21,Matin,35
2023-06-19,01:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,194,125,5,21,Matin,35
2023-06-19,02:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,195,125,5,21,Matin,35
2023-06-19,03:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,191,125,5,21,Matin,35
2023-06-19,04:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,206,125,5,21,Matin,35
2023-06-19,05:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,287,125,5,21,Matin,35
2023-06-19,06:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,334,125,5,21,Matin,35
2023-06-19,07:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,339,125,5,21,Matin,35
2023-06-19,08:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,362,125,5,21,Matin,35
2023-06-19,09:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,371,125,5,21,Matin,35
2023-06-19,10:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,371,125,5,21,Matin,35
2023-06-19,11:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,380,125,5,21,Matin,35
2023-06-19,12:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,380,125,5,21,Matin,35
2023-06-19,13:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,394,125,5,21,Matin,35
2023-06-19,14:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,388,125,5,21,Matin,35
2023-06-19,15:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,380,125,5,21,Matin,35
2023-06-19,16:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,379,125,5,21,Matin,35
2023-06-19,17:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,381,125,5,21,Matin,35
2023-06-19,18:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,377,125,5,21,Matin,35
2023-06-19,19:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,374,125,5,21,Matin,35
2023-06-19,20:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,305,125,5,21,Matin,35
2023-06-19,21:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,245,125,5,21,Matin,35
2023-06-19,22:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,202,125,5,21,Matin,35
2023-06-19,23:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,197,125,5,21,Matin,35
2023-06-20,00:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,186,125,5,21,Matin,35
2023-06-20,01:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,195,125,5,21,Matin,35
2023-06-20,02:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,194,125,5,21,Matin,35
2023-06-20,03:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,193,125,5,21,Matin,35
2023-06-20,04:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,204,125,5,21,Matin,35
2023-06-20,05:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,268,125,5,21,Matin,35
2023-06-20,06:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,342,125,5,21,Matin,35
2023-06-20,07:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,340,125,5,21,Matin,35
2023-06-20,08:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,368,125,5,21,Matin,35
2023-06-20,09:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,376,125,5,21,Matin,35
2023-06-20,10:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,382,125,5,21,Matin,35
2023-06-20,11:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,393,125,5,21,Matin,35
2023-06-20,12:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,405,125,5,21,Matin,35
2023-06-20,13:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,410,125,5,21,Matin,35
2023-06-20,14:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,399,125,5,21,Matin,35
2023-06-20,15:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,379,125,5,21,Matin,35
2023-06-20,16:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,391,125,5,21,Matin,35
2023-06-20,17:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,391,125,5,21,Matin,35
2023-06-20,18:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,386,125,5,21,Matin,35
